callid,testdate,Name,top,bottom,start,end,dt,calltype,dati,father,mother,Stage,type,fm,birth,Age,PW,PM,parents
1,2015-04-24,Chlocks,15.77385,0,76.6236,76.6716,0.048,ock,15,Kuroco,Chloe,2.5-4 m,UE,male,2015-01-15,99,14,3.5,Chloe_Kuroco
2,2015-04-24,Chlocks,14.62898,0,108.6328,108.6648,0.032,ock,15,Kuroco,Chloe,2.5-4 m,UE,male,2015-01-15,99,14,3.5,Chloe_Kuroco
3,2015-04-24,Chlocks,16.79152,15.51943,115.7621,115.8421,0.08,tsik,15,Kuroco,Chloe,2.5-4 m,UE,male,2015-01-15,99,14,3.5,Chloe_Kuroco
4,2015-04-24,Chlocks,3.81625,0.19081,116.0261,116.0821,0.056,egg,15,Kuroco,Chloe,2.5-4 m,UE,male,2015-01-15,99,14,3.5,Chloe_Kuroco
5,2015-04-24,Chlocks,14.24735,12.40283,117.8101,117.9381,0.128,tsik,15,Kuroco,Chloe,2.5-4 m,UE,male,2015-01-15,99,14,3.5,Chloe_Kuroco
6,2015-04-24,Chlocks,15.20141,0,139.3907,139.4227,0.032,ock,15,Kuroco,Chloe,2.5-4 m,UE,male,2015-01-15,99,14,3.5,Chloe_Kuroco
7,2015-04-24,Chlocks,11.63958,10.81272,197.9005,197.9725,0.072,tsik,15,Kuroco,Chloe,2.5-4 m,UE,male,2015-01-15,99,14,3.5,Chloe_Kuroco
8,2015-04-24,Chlocks,4.07067,0,198.2125,198.2605,0.048,egg,15,Kuroco,Chloe,2.5-4 m,UE,male,2015-01-15,99,14,3.5,Chloe_Kuroco
9,2015-04-24,Chlocks,6.42403,0,201.7005,201.7725,0.072,egg,15,Kuroco,Chloe,2.5-4 m,UE,male,2015-01-15,99,14,3.5,Chloe_Kuroco
10,2015-04-24,Chlocks,14.947,0,205.7211,205.7931,0.072,ock,15,Kuroco,Chloe,2.5-4 m,UE,male,2015-01-15,99,14,3.5,Chloe_Kuroco
11,2015-04-24,Chlocks,6.61484,0,210.4971,210.5371,0.04,ock,15,Kuroco,Chloe,2.5-4 m,UE,male,2015-01-15,99,14,3.5,Chloe_Kuroco
12,2015-04-24,Chlocks,5.85159,0,229.1497,229.2057,0.056,ock,15,Kuroco,Chloe,2.5-4 m,UE,male,2015-01-15,99,14,3.5,Chloe_Kuroco
13,2015-04-24,Chlocks,4.32509,0.12721,238.2537,238.3256,0.072,ock,15,Kuroco,Chloe,2.5-4 m,UE,male,2015-01-15,99,14,3.5,Chloe_Kuroco
14,2015-04-24,Chlocks,13.67491,0,241.6776,241.7576,0.08,ock,15,Kuroco,Chloe,2.5-4 m,UE,male,2015-01-15,99,14,3.5,Chloe_Kuroco
15,2015-04-24,Chlocks,3.87986,0,243.2296,243.2616,0.032,egg,15,Kuroco,Chloe,2.5-4 m,UE,male,2015-01-15,99,14,3.5,Chloe_Kuroco
16,2015-04-24,Chlocks,3.75265,0,243.3096,243.3656,0.056,egg,15,Kuroco,Chloe,2.5-4 m,UE,male,2015-01-15,99,14,3.5,Chloe_Kuroco
17,2015-04-24,Chlocks,6.74205,0,259.6464,259.6944,0.048,egg,15,Kuroco,Chloe,2.5-4 m,UE,male,2015-01-15,99,14,3.5,Chloe_Kuroco
18,2015-04-24,Chlocks,7.18728,0,259.7264,259.7824,0.056,egg,15,Kuroco,Chloe,2.5-4 m,UE,male,2015-01-15,99,14,3.5,Chloe_Kuroco
19,2015-04-24,Chlocks,14.50177,13.61131,269.107,269.147,0.04,tsik,15,Kuroco,Chloe,2.5-4 m,UE,male,2015-01-15,99,14,3.5,Chloe_Kuroco
