Name,type,fm,parents,PM,Stage,calltype,post_calltype,ici,ICI,Repeat
Chlocks,UE,male,Chloe_Kuroco,3.5,2.5-4 m,ock,tsik,7.097300000000004,Long,Different
Chlocks,UE,male,Chloe_Kuroco,3.5,2.5-4 m,tsik,egg,0.1839999999999975,Short,Different
Chlocks,UE,male,Chloe_Kuroco,3.5,2.5-4 m,egg,tsik,1.7280000000000086,Short,Different
Chlocks,UE,male,Chloe_Kuroco,3.5,2.5-4 m,tsik,ock,21.452600000000004,Long,Different
Chlocks,UE,male,Chloe_Kuroco,3.5,2.5-4 m,tsik,egg,0.2400000000000091,Short,Different
Chlocks,UE,male,Chloe_Kuroco,3.5,2.5-4 m,egg,egg,3.4399999999999977,Short,Repeated
Chlocks,UE,male,Chloe_Kuroco,3.5,2.5-4 m,egg,ock,3.948599999999999,Short,Different
Chlocks,UE,male,Chloe_Kuroco,3.5,2.5-4 m,ock,ock,4.703999999999979,Short,Repeated
Chlocks,UE,male,Chloe_Kuroco,3.5,2.5-4 m,ock,ock,18.612599999999986,Long,Repeated
Chlocks,UE,male,Chloe_Kuroco,3.5,2.5-4 m,ock,ock,9.048000000000002,Long,Repeated
Chlocks,UE,male,Chloe_Kuroco,3.5,2.5-4 m,ock,ock,3.352000000000004,Short,Repeated
Chlocks,UE,male,Chloe_Kuroco,3.5,2.5-4 m,ock,egg,1.4720000000000084,Short,Different
Chlocks,UE,male,Chloe_Kuroco,3.5,2.5-4 m,egg,egg,0.04800000000000182,Short,Repeated
Chlocks,UE,male,Chloe_Kuroco,3.5,2.5-4 m,egg,egg,16.280800000000028,Long,Repeated
Chlocks,UE,male,Chloe_Kuroco,3.5,2.5-4 m,egg,egg,0.03200000000003911,Short,Repeated
Chlocks,UE,male,Chloe_Kuroco,3.5,2.5-4 m,egg,tsik,9.324600000000032,Long,Different
Chlocks,UE,male,Chloe_Kuroco,3.5,2.5-4 m,tsik,egg,0.24799999999999045,Short,Different
