type,Name,Stage,model,phrase,n
UE,Belarus,1-2.5 m,gram1,chirp,30.666666666666664
UE,Belarus,1-2.5 m,gram1,egg,3.5
UE,Belarus,1-2.5 m,gram1,ock,10.333333333333334
UE,Belarus,1-2.5 m,gram1,other,1
UE,Belarus,1-2.5 m,gram1,peep,10.333333333333334
UE,Belarus,1-2.5 m,gram1,phee,9
UE,Belarus,1-2.5 m,gram1,trill,83.33333333333333
UE,Belarus,1-2.5 m,gram1,trillphee,7
UE,Belarus,1-2.5 m,gram2,chirp-chirp,31.5
UE,Belarus,1-2.5 m,gram2,chirp-egg,1
UE,Belarus,1-2.5 m,gram2,chirp-peep,2
UE,Belarus,1-2.5 m,gram2,chirp-phee,3
UE,Belarus,1-2.5 m,gram2,chirp-trill,5.333333333333333
UE,Belarus,1-2.5 m,gram2,chirp-trillphee,1
UE,Belarus,1-2.5 m,gram2,egg-chirp,1
UE,Belarus,1-2.5 m,gram2,egg-egg,2
UE,Belarus,1-2.5 m,gram2,egg-peep,1
UE,Belarus,1-2.5 m,gram2,egg-phee,1
UE,Belarus,1-2.5 m,gram2,egg-trillphee,1
UE,Belarus,1-2.5 m,gram2,ock-peep,1
UE,Belarus,1-2.5 m,gram2,ock-phee,1
UE,Belarus,1-2.5 m,gram2,ock-trill,11
UE,Belarus,1-2.5 m,gram2,ock-trillphee,1
UE,Belarus,1-2.5 m,gram2,other-chirp,1
UE,Belarus,1-2.5 m,gram2,peep-chirp,1.5
UE,Belarus,1-2.5 m,gram2,peep-ock,1
UE,Belarus,1-2.5 m,gram2,peep-peep,2
UE,Belarus,1-2.5 m,gram2,peep-phee,1
UE,Belarus,1-2.5 m,gram2,peep-trill,5.333333333333333
UE,Belarus,1-2.5 m,gram2,peep-trillphee,2
UE,Belarus,1-2.5 m,gram2,phee-chirp,2
UE,Belarus,1-2.5 m,gram2,phee-egg,1
UE,Belarus,1-2.5 m,gram2,phee-phee,6
UE,Belarus,1-2.5 m,gram2,phee-trill,4
UE,Belarus,1-2.5 m,gram2,trill-chirp,6
UE,Belarus,1-2.5 m,gram2,trill-egg,1
UE,Belarus,1-2.5 m,gram2,trill-ock,7.333333333333333
UE,Belarus,1-2.5 m,gram2,trill-other,1
UE,Belarus,1-2.5 m,gram2,trill-peep,5
UE,Belarus,1-2.5 m,gram2,trill-phee,2
UE,Belarus,1-2.5 m,gram2,trill-trill,55.333333333333336
UE,Belarus,1-2.5 m,gram2,trill-trillphee,1
UE,Belarus,1-2.5 m,gram2,trillphee-trill,7
UE,Belarus,1-2.5 m,gram3,chirp-chirp-chirp,27.5
UE,Belarus,1-2.5 m,gram3,chirp-chirp-egg,1
UE,Belarus,1-2.5 m,gram3,chirp-chirp-peep,1
UE,Belarus,1-2.5 m,gram3,chirp-chirp-phee,1
