PM,type,Name,birth,mf,bw,key
-3,UE,Anis,2016-07-25,mother,0.909876084970306,UEAnis2016-07-25
-3,UE,Bella,2015-08-16,mother,0.9709447080377694,UEBella2015-08-16
-3,UE,Bella,2016-08-12,mother,0.8716287215411559,UEBella2016-08-12
-3,UE,Buri,2014-10-11,mother,0.9873376971778088,UEBuri2014-10-11
-3,UE,Buri,2016-03-21,mother,0.8676716917922946,UEBuri2016-03-21
-3,UE,Buri,2017-01-20,mother,0.8775731310942578,UEBuri2017-01-20
-3,UE,Chroe,2015-01-15,mother,0.9478534502135312,UEChroe2015-01-15
-3,UE,Cocoro,2010-10-05,father,1.0110372152256968,UECocoro2010-10-05
-3,UE,Cocoro,2012-08-06,father,0.9632379752709916,UECocoro2012-08-06
-3,UE,Cocoro,2014-04-09,father,1.0250372523409188,UECocoro2014-04-09
-3,UE,Cocoro,2014-10-11,father,1.087305183930014,UECocoro2014-10-11
-3,UE,Dolche,2015-08-16,father,0.9926352865834134,UEDolche2015-08-16
-3,UE,Dolche,2016-08-12,father,0.9728452683312993,UEDolche2016-08-12
-3,UE,Iwashi,2011-09-29,father,1.131413465774823,UEIwashi2011-09-29
-3,UE,Iwashi,2012-02-29,father,1.0241559542308236,UEIwashi2012-02-29
-3,UE,Iwashi,2013-04-18,father,1.0201627994011977,UEIwashi2013-04-18
-3,UE,Iwashi,2014-06-27,father,0.9656189988477788,UEIwashi2014-06-27
-3,UE,Iwashi,2015-06-17,father,1.0251264392553532,UEIwashi2015-06-17
-3,UE,Iwashi,2016-07-30,father,0.951747822536623,UEIwashi2016-07-30
-3,UE,Iwashi,2017-01-25,father,0.9893144435106254,UEIwashi2017-01-25
-3,UE,Iwashi,2017-08-19,father,0.9916186515496492,UEIwashi2017-08-19
-3,UE,Kuroco,2015-01-15,father,1.0056084518064432,UEKuroco2015-01-15
-3,UE,Sayori,2011-09-29,mother,0.953842875958782,UESayori2011-09-29
-3,UE,Sayori,2012-02-29,mother,0.905894105894106,UESayori2012-02-29
-3,UE,Sayori,2013-04-18,mother,0.9537761500471672,UESayori2013-04-18
-3,UE,Sayori,2014-06-27,mother,0.941910054277591,UESayori2014-06-27
-3,UE,Sayori,2015-06-17,mother,0.9026924365992628,UESayori2015-06-17
-3,UE,Sayori,2016-07-30,mother,0.9234083325073512,UESayori2016-07-30
-3,UE,Sayori,2017-01-25,mother,0.9543073248407644,UESayori2017-01-25
-3,UE,Sayori,2017-08-19,mother,0.8765095876956046,UESayori2017-08-19
-3,UE,Shirasu,2016-07-25,father,1.0368297191557598,UEShirasu2016-07-25
-3,VPA,Anis,2014-01-04,mother,0.9522741227034432,VPAAnis2014-01-04
-3,VPA,Anis,2014-06-07,mother,0.9317544485800237,VPAAnis2014-06-07
-3,VPA,Anis,2015-06-04,mother,0.9178459622454812,VPAAnis2015-06-04
-3,VPA,Anis,2017-01-25,mother,0.8897493749618879,VPAAnis2017-01-25
-3,VPA,Bella,2016-02-13,mother,0.9633818083280644,VPABella2016-02-13
