Stage,type,Name,PM,PC1,PC2,PC3,PC4,maha
1-2.5 m,UE,Belarus,1,55.24768862861763,54.302562961565705,1.4678747643748826,-49.01295337970767,2.1358730683111653
1-2.5 m,UE,Belarus,1.5,51.1771351553492,39.90737360654061,-0.7588058250400611,-0.026744184913472455,0.744668715311798
1-2.5 m,UE,Belarus,2.25,30.32518241940752,53.63093241762439,1.9415553424001297,15.462255015692131,1.4013955337188992
1-2.5 m,UE,Belladonna,1,-43.90880909985568,42.83626369591818,-0.19068186426272163,-10.20395440543788,0.9178926721139615
1-2.5 m,UE,Belladonna,1.5,92.97931054221125,62.23654998447061,3.49258635193594,10.495589446337977,1.2171170788253611
1-2.5 m,UE,Belladonna,2,92.08682038380994,47.777600385253166,-0.6719837848438639,-13.602754392545132,0.9463991462547936
1-2.5 m,UE,Chaps,1,-188.37609593224101,27.237282708975926,0.6940917292400087,11.396785981174938,1.1262157444399867
1-2.5 m,UE,Chaps,1.5,-180.14780502709849,-1.840970964652351,4.0032746942683914,45.48960085133828,2.5616205300247565
1-2.5 m,UE,Chaps,2.25,-154.6448363962097,-6.392790664376243,5.44343223689752,-1.5522706452182853,5.054656817110406
1-2.5 m,UE,Chuppa,1,-630.5983690682385,-89.08510380218593,-21.272020582055774,-67.84683294800182,7.913691833052892
1-2.5 m,UE,Chuppa,1.75,-275.3102640373332,-7.9401783712784795,-6.516937056424092,1.7127294034353355,1.603027945218363
1-2.5 m,UE,Chuppa,2.25,-201.24006750248088,-105.70531847150251,-20.47359694834641,-1.5696662684846368,12.53396519215267
1-2.5 m,UE,Genge,1,-33.67365879588478,17.91851695655643,5.2718619478767135,-25.43039273633381,4.273085389555277
1-2.5 m,UE,Genge,1.75,76.86481394188229,52.44938900856073,3.030544154751524,4.941402032683745,0.7271694561219444
1-2.5 m,UE,Genge,2.25,128.11242777780248,59.1878016242761,1.8453861677035028,8.500931588669438,1.3242720203218528
1-2.5 m,UE,Nodogro,1,1.5325258074275476,43.78861301871253,5.651607644154774,-0.8620326074074476,0.9250754975168567
1-2.5 m,UE,Nodogro,1.75,-534.0355353933263,-32.546761162679545,-6.407313652090306,-115.35712682612882,9.885306007603722
1-2.5 m,UE,Nodogro,2.25,-941.6705983563123,-64.27423245628914,4.60055430675637,67.37105134422612,12.708567352345323
1-2.5 m,VPA,Bach,1,12.821326508825022,53.695321418894935,1.296112832862474,27.47499329086646,2.549870816603681
1-2.5 m,VPA,Bach,1.5,2.5587666404739022,25.58838967779862,4.37059558153117,20.984334725098748,1.4647662563541033
1-2.5 m,VPA,Bach,2,-37.01764367816639,14.760544071197458,-3.945685448380425,9.099150628177112,0.9974988391484997
1-2.5 m,VPA,Brahms,1.25,-45.86088537357621,48.58393716317256,6.375792834479009,17.824324945818137,0.9510444871091407
1-2.5 m,VPA,Brahms,1.75,-39.95893264695411,38.74950925851112,1.1156451207581768,31.495968800845798,1.75831100914187
1-2.5 m,VPA,Brahms,2.25,-88.96160529701288,21.829398953685537,4.131488873160748,-29.134031761785437,2.291181511221712
1-2.5 m,VPA,Camaro,1.25,-76.02092377109955,-28.8333077569168,29.22204542233282,19.111551708943807,81.76060376977726
1-2.5 m,VPA,Camaro,1.75,48.353740985633166,45.81062254904786,1.2965841406559464,12.137761503185326,0.8635923887364785
1-2.5 m,VPA,Camaro,2.25,-35.39623476619486,5.0790891840433465,-7.036796064129829,18.923956236523185,2.6732407971956276
1-2.5 m,VPA,Cheecama,1.5,106.42567429867573,58.31641862903503,2.9106223490635807,-32.60904327181714,1.5806891057168206
1-2.5 m,VPA,Cheecama,2.25,44.28842116808368,55.26020616106363,1.9660383312602783,-15.084472051232146,0.9009781610840297
1-2.5 m,VPA,Chevrolet,1.25,-26.17186382882506,-129.20523509868775,-27.102726994615505,-0.042227879082850445,26.2990352280586
1-2.5 m,VPA,Chevrolet,1.75,-81.41417908593135,-59.38221026499897,0.18315893358679222,21.668589595247997,16.47406471783162
1-2.5 m,VPA,Chevrolet,2.25,44.920625572693986,-35.05827668815665,-13.947186891839378,20.088944259236104,7.931250827047789
1-2.5 m,VPA,Ipsum,1,48.91906852405387,46.6296605638473,11.663529922138743,-58.42727829511763,12.405387048313862
1-2.5 m,VPA,Ipsum,2.25,60.35969301942204,50.86716360909463,-0.04394180909944381,-26.463358246639665,1.0774542539344798
1-2.5 m,VPA,Isis,1.25,51.99720723816288,42.89535282859851,0.8828467446056494,-34.899679565109125,1.1800989298587865
