Name,Pup,sex,birth,Mother,mother_Age,mother_NOP,Father,father_Age,father_NOP
Chlocks,UE1,m,2015/1/15,CH,4.5,3,KU,8.1,5
Chaps,UE2,f,2015/7/13,CH,5,4,KU,8.6,6
Chuppa,UE3,m,2015/7/13,CH,5,4,KU,8.6,6
Genge,UE4,m,2015/6/17,SA,9.3,7,IW,9.7,7
Nodogro,UE5,m,2015/6/17,SA,9.3,7,IW,9.7,7
Belarus,UE6,m,2015/8/16,BE,5,1,DO,3.3,1
Belladonna,UE7,f,2015/8/16,BE,5,1,DO,3.3,1
Camaro,VPA1,m,2016/4/21,CH,5.8,5,NI,10.8,5
Chevrolet,VPA2,m,2016/4/21,CH,5.8,5,NI,10.8,5
Taco,VPA3,f,2014/12/22,SA,8.8,6,IW,9.2,6
Bach,VPA4,m,2016/2/13,BE,5.5,2,DO,3.8,2
Brahms,VPA5,m,2016/2/13,BE,5.5,2,DO,3.8,2
Ipsum,VPA6,m,2015/6/4,AN,5.3,3,SH,3.7,3
Isis,VPA7,f,2015/6/4,AN,5.3,3,SH,3.7,3
Cheecama,VPA8,m,2015/4/30,BU,3.6,3,CO,14.2,4
Sasacama,VPA9,m,2015/4/30,BU,3.6,3,CO,14.2,4
